timestamp(ms),GPS[0].Lat,GPS[0].Lng,ATT.Roll
563757.872,398168593,301208391,42.06
563857.872,398168558,301208735,41.5
563957.872,398168462,301209119,41.07
564057.872,398168462,301209119,37.08
564157.872,398168329,301209526,36.09
564257.872,398168329,301209526,36.97
564357.872,398168173,301209956,38.3
564457.872,398168173,301209956,37.63
564557.872,398168007,301210400,34.04
564657.872,398168007,301210400,33.24
564757.872,398168007,301210400,-3.620000000000001
564857.872,398167840,301210860,-11.92
564957.872,398167689,301211274,-15.52
565057.872,398167689,301211274,-8.18
565157.872,398167568,301211584,-8.9
565257.872,398167568,301211584,-9.92
565357.872,398167468,301211800,-9.09
565457.872,398167468,301211800,-9.31
565557.872,398167393,301211977,-9.07
565657.872,398167393,301211977,-8.19
565757.872,398167336,301212128,-9.69
565857.872,398167336,301212128,-8.5
565957.872,398167297,301212240,-9.11
566057.872,398167297,301212240,-9.83
566157.872,398167269,301212312,-13.22
566257.872,398167269,301212312,-16.27
566357.872,398167249,301212343,-13.99
566457.872,398167249,301212343,-11.88
566557.872,398167227,301212357,-9.42
566657.872,398167227,301212357,-9.86
566757.872,398167211,301212360,-11.31
566857.872,398167211,301212360,-10.85
566957.872,398167207,301212357,-11.07
567057.872,398167207,301212357,-10.42
567157.872,398167213,301212350,-10.65
567257.872,398167213,301212350,-10.51
567357.872,398167217,301212342,-10.39
567457.872,398167217,301212342,-10.26
567557.872,398167221,301212334,-10.3
567657.872,398167221,301212334,-10.21
567757.872,398167220,301212325,-10.24
567857.872,398167220,301212325,-10.15
567957.872,398167222,301212314,-10.2
568057.872,398167222,301212314,-10.08
568157.872,398167228,301212303,-10.03
568257.872,398167228,301212303,-10.13
